country,total_pop,pop_over_60,birth_rate,death_rate,life_expec
Argentina,40765,14.8,16.9,7.7,76
Belize,318,5.7,24.2,3.8,76.1
Bolivia,10088,7.2,26.1,7.2,66.8
Brazil,196655,10.6,15.2,6.4,73.7
Chile,17270,13.5,14.2,5.7,79.2
Colombia,46927,8.9,19.2,5.5,73.8
Costa Rica,4727,9.8,15.5,4.3,79.4
Cuba,11254,17.4,9.8,7.5,79.2
Dominican Republic,10056,9,21.2,5.9,73.5
Ecuador,14666,9.1,20.2,5,75.7
El Salvador,6227,9.6,20.1,6.5,72.3
Guatemala,14757,6.4,31.8,5.4,71.3
Honduras,7755,6.3,26.2,4.8,73.3
Mexico,114793,9.2,18.9,4.8,77
Nicaragua,5870,6.4,23.2,4.6,74.1
Panama,3571,9.9,19.4,5,76.2
Paraguay,6568,7.8,23.9,5.5,72.6
Peru,29400,9,19.9,5.5,74.1
Puerto Rico,3746,18.2,13,7.8,79.2
Uruguay,3380,18.4,14.6,9.3,77.1
Venezuela,29437,8.9,20.2,5.2,74.5